estimate,se_seller,se_hc1,se_twoway,n,converged,error,func_form,fe,sample,cov_design,form_label,fe_label,sample_label,cov_label
-0.013810,0.010296,0.011188,0.005343,85514,True,,F2,E3,S3,D2,log(GMV/1000+1),Week FE only,Early adopters,Cohort trends
-0.022894,0.003734,0.001989,0.006952,423706,True,,F2,E4,S1,D1,log(GMV/1000+1),No FE,Full sample,No controls
-0.043975,0.004786,0.003395,0.009657,423706,True,,F2,E4,S1,D2,log(GMV/1000+1),No FE,Full sample,Cohort trends
-0.007698,0.004559,0.002453,0.006321,319925,True,,F2,E4,S2,D1,log(GMV/1000+1),No FE,Positive-sales,No controls
-0.031485,0.005684,0.004128,0.008056,319925,True,,F2,E4,S2,D2,log(GMV/1000+1),No FE,Positive-sales,Cohort trends
-0.014461,0.008058,0.004798,0.008655,85514,True,,F2,E4,S3,D1,log(GMV/1000+1),No FE,Early adopters,No controls
-0.044428,0.011378,0.008123,0.012393,85514,True,,F2,E4,S3,D2,log(GMV/1000+1),No FE,Early adopters,Cohort trends
0.000041,0.002779,0.001786,0.002902,423706,True,,F3,E1,S1,D1,1(GMV>0),Seller+Week FE,Full sample,No controls
0.001443,0.002917,0.002543,0.002484,423706,True,,F3,E1,S1,D2,1(GMV>0),Seller+Week FE,Full sample,Cohort trends
0.002921,0.005287,0.003587,0.005117,85514,True,,F3,E1,S3,D1,1(GMV>0),Seller+Week FE,Early adopters,No controls
0.010900,0.005535,0.004720,0.005144,85514,True,,F3,E1,S3,D2,1(GMV>0),Seller+Week FE,Early adopters,Cohort trends
-0.048567,0.001919,0.001168,0.005282,423706,True,,F3,E2,S1,D1,1(GMV>0),Seller FE only,Full sample,No controls
-0.002561,0.002387,0.001984,0.002797,423706,True,,F3,E2,S1,D2,1(GMV>0),Seller FE only,Full sample,Cohort trends
-0.021589,0.003302,0.002097,0.004266,85514,True,,F3,E2,S3,D1,1(GMV>0),Seller FE only,Early adopters,No controls
-0.000947,0.004343,0.003530,0.004163,85514,True,,F3,E2,S3,D2,1(GMV>0),Seller FE only,Early adopters,Cohort trends
0.013582,0.005052,0.002232,0.005047,423706,True,,F3,E3,S1,D1,1(GMV>0),Week FE only,Full sample,No controls
-0.005449,0.003778,0.003515,0.003177,423706,True,,F3,E3,S1,D2,1(GMV>0),Week FE only,Full sample,Cohort trends
0.007551,0.009342,0.004308,0.008969,85514,True,,F3,E3,S3,D1,1(GMV>0),Week FE only,Early adopters,No controls
0.006158,0.006596,0.006259,0.004259,85514,True,,F3,E3,S3,D2,1(GMV>0),Week FE only,Early adopters,Cohort trends
-0.032936,0.002949,0.001600,0.006075,423706,True,,F3,E4,S1,D1,1(GMV>0),No FE,Full sample,No controls
-0.039179,0.003728,0.002685,0.008170,423706,True,,F3,E4,S1,D2,1(GMV>0),No FE,Full sample,Cohort trends
-0.016487,0.004640,0.002739,0.005063,85514,True,,F3,E4,S3,D1,1(GMV>0),No FE,Early adopters,No controls
-0.016217,0.006469,0.004520,0.006307,85514,True,,F3,E4,S3,D2,1(GMV>0),No FE,Early adopters,Cohort trends
0.006076,0.008741,0.006137,0.007977,319464,True,,F4,E1,S1,D1,log(GMV)|GMV>0,Seller+Week FE,Full sample,No controls
0.008849,0.009729,0.008691,0.008787,319464,True,,F4,E1,S1,D2,log(GMV)|GMV>0,Seller+Week FE,Full sample,Cohort trends
0.006076,0.008741,0.006137,0.007977,319464,True,,F4,E1,S2,D1,log(GMV)|GMV>0,Seller+Week FE,Positive-sales,No controls
0.008849,0.009729,0.008691,0.008787,319464,True,,F4,E1,S2,D2,log(GMV)|GMV>0,Seller+Week FE,Positive-sales,Cohort trends
0.024682,0.018113,0.012693,0.017760,73210,True,,F4,E1,S3,D1,log(GMV)|GMV>0,Seller+Week FE,Early adopters,No controls
0.035262,0.018507,0.016664,0.017800,73210,True,,F4,E1,S3,D2,log(GMV)|GMV>0,Seller+Week FE,Early adopters,Cohort trends
-0.147761,0.006131,0.004043,0.018588,319464,True,,F4,E2,S1,D1,log(GMV)|GMV>0,Seller FE only,Full sample,No controls
0.017894,0.007799,0.006798,0.018936,319464,True,,F4,E2,S1,D2,log(GMV)|GMV>0,Seller FE only,Full sample,Cohort trends
-0.147761,0.006131,0.004043,0.018588,319464,True,,F4,E2,S2,D1,log(GMV)|GMV>0,Seller FE only,Positive-sales,No controls
0.017894,0.007799,0.006798,0.018936,319464,True,,F4,E2,S2,D2,log(GMV)|GMV>0,Seller FE only,Positive-sales,Cohort trends
-0.120226,0.011748,0.007363,0.019880,73210,True,,F4,E2,S3,D1,log(GMV)|GMV>0,Seller FE only,Early adopters,No controls
0.028249,0.014118,0.012356,0.014263,73210,True,,F4,E2,S3,D2,log(GMV)|GMV>0,Seller FE only,Early adopters,Cohort trends
0.049898,0.020392,0.008959,0.019406,319925,True,,F4,E3,S1,D1,log(GMV)|GMV>0,Week FE only,Full sample,No controls
-0.019692,0.014597,0.014180,0.010891,319925,True,,F4,E3,S1,D2,log(GMV)|GMV>0,Week FE only,Full sample,Cohort trends
0.049898,0.020392,0.008959,0.019406,319925,True,,F4,E3,S2,D1,log(GMV)|GMV>0,Week FE only,Positive-sales,No controls
-0.019692,0.014597,0.014180,0.010891,319925,True,,F4,E3,S2,D2,log(GMV)|GMV>0,Week FE only,Positive-sales,Cohort trends
0.107000,0.045559,0.019814,0.043357,73265,True,,F4,E3,S3,D1,log(GMV)|GMV>0,Week FE only,Early adopters,No controls
-0.015197,0.028028,0.029594,0.020117,73265,True,,F4,E3,S3,D2,log(GMV)|GMV>0,Week FE only,Early adopters,Cohort trends
-0.062379,0.011477,0.006458,0.018840,319925,True,,F4,E4,S1,D1,log(GMV)|GMV>0,No FE,Full sample,No controls
-0.091845,0.014625,0.010825,0.023296,319925,True,,F4,E4,S1,D2,log(GMV)|GMV>0,No FE,Full sample,Cohort trends
-0.062379,0.011477,0.006458,0.018840,319925,True,,F4,E4,S2,D1,log(GMV)|GMV>0,No FE,Positive-sales,No controls
-0.091845,0.014625,0.010825,0.023296,319925,True,,F4,E4,S2,D2,log(GMV)|GMV>0,No FE,Positive-sales,Cohort trends
-0.049262,0.020930,0.012773,0.024038,73265,True,,F4,E4,S3,D1,log(GMV)|GMV>0,No FE,Early adopters,No controls
-0.091074,0.029321,0.021408,0.032794,73265,True,,F4,E4,S3,D2,log(GMV)|GMV>0,No FE,Early adopters,Cohort trends
0.002547,0.018977,0.011741,0.019017,423706,True,,F5,E1,S1,D1,asinh(GMV),Seller+Week FE,Full sample,No controls
0.013779,0.019570,0.016697,0.015490,423706,True,,F5,E1,S1,D2,asinh(GMV),Seller+Week FE,Full sample,Cohort trends
0.006183,0.008732,0.006127,0.007953,319464,True,,F5,E1,S2,D1,asinh(GMV),Seller+Week FE,Positive-sales,No controls
0.009073,0.009716,0.008677,0.008740,319464,True,,F5,E1,S2,D2,asinh(GMV),Seller+Week FE,Positive-sales,Cohort trends
0.035231,0.037759,0.024488,0.035750,85514,True,,F5,E1,S3,D1,asinh(GMV),Seller+Week FE,Early adopters,No controls
0.096919,0.037995,0.032354,0.034022,85514,True,,F5,E1,S3,D2,asinh(GMV),Seller+Week FE,Early adopters,Cohort trends
-0.400345,0.013126,0.007696,0.044360,423706,True,,F5,E2,S1,D1,asinh(GMV),Seller FE only,Full sample,No controls
-0.007174,0.016000,0.013056,0.025164,423706,True,,F5,E2,S1,D2,asinh(GMV),Seller FE only,Full sample,Cohort trends
-0.147649,0.006126,0.004038,0.018586,319464,True,,F5,E2,S2,D1,asinh(GMV),Seller FE only,Positive-sales,No controls
0.017925,0.007791,0.006789,0.018924,319464,True,,F5,E2,S2,D2,asinh(GMV),Seller FE only,Positive-sales,Cohort trends
-0.233576,0.023790,0.014359,0.037407,85514,True,,F5,E2,S3,D1,asinh(GMV),Seller FE only,Early adopters,No controls
0.009054,0.029943,0.024175,0.029105,85514,True,,F5,E2,S3,D2,asinh(GMV),Seller FE only,Early adopters,Cohort trends
0.125716,0.037979,0.016052,0.037615,423706,True,,F5,E3,S1,D1,asinh(GMV),Week FE only,Full sample,No controls
