"ID","TreatmentDate","OptInDate","GMV2015"
80369,2016-06-13,2016-09-27,15369.17
83102,2016-06-13,NA,21934.53
2861,2016-06-21,NA,16461.74
127299,2016-06-13,2016-06-15,549288.68
160838,2016-06-13,NA,36999.47
86780,2016-05-12,NA,13702.52
133798,2016-06-13,2016-06-15,67267.34
48488,2016-05-19,NA,10239.35
129848,2016-08-08,2016-10-17,12516.08
38505,2016-08-08,2016-08-20,11508.56
177273,2016-08-08,NA,24738.17
92771,2016-06-13,2016-06-15,36471.19
114211,2016-08-08,2016-09-15,34028.14
65749,2016-08-08,2017-01-06,45593.72
161532,2016-06-13,2016-07-26,13117.89
102622,2016-08-08,NA,11755.07
166391,2016-06-13,2016-06-13,12037.92
159333,2016-05-12,NA,19789.06
56810,2016-06-21,NA,40445.52
26250,2016-06-21,2016-06-26,10344.04
155297,2016-06-06,NA,31432.88
227,2016-06-06,2016-06-28,34241.83
41000,2016-06-13,2016-12-10,134915.9
123796,2016-06-13,NA,109240.23
138056,2016-06-13,2016-08-05,22005.24
5051,2016-08-08,NA,14134
48805,2016-07-26,NA,18425.7
83037,2016-06-13,2016-06-30,14656.45
114240,2016-06-21,2016-07-25,25878.07
106964,2016-06-06,NA,19304.75
173373,2016-08-08,NA,14448.99
174326,2016-06-21,2016-06-28,18752.43
152735,2016-08-08,NA,53827.89
171447,2016-08-08,NA,18883.88
54074,2016-05-19,NA,10516.21
137578,2016-06-06,NA,284320.46
39251,2016-08-08,2016-08-11,10576.93
102445,2016-07-26,NA,55247.85
127681,2016-06-21,NA,62411.14
95064,2016-06-13,NA,20664.13
129534,2016-06-13,NA,58525.32
95946,2016-07-26,2016-08-07,118165.63
119332,2016-06-13,NA,13968.49
43381,2016-06-13,NA,29650.15
13356,2016-06-13,NA,12819.89
154522,2016-06-13,2016-07-05,44057.15
166823,2016-06-13,NA,11201.26
14390,2016-08-08,2016-08-31,72231.59
128800,2016-06-06,NA,40447.73
112113,2016-08-08,NA,39646.9
39044,2016-08-08,2016-08-26,15350.39
112116,2016-06-13,2016-06-13,29431.03
29112,2016-08-08,NA,10386.98
89021,2016-08-08,2016-08-21,49299.67
109815,2016-06-13,NA,84539.41
23802,2016-07-26,2016-09-06,28729.4
62828,2016-06-13,NA,33154.91
38322,2016-08-08,2016-08-08,21000.53
123299,2016-06-13,NA,28078.04
90980,2016-06-13,NA,24499.01
60256,2016-08-08,NA,18096.24
114719,2016-08-08,2016-08-19,31900.22
79455,2016-08-08,NA,22397.37
16724,2016-06-21,NA,18665.47
113756,2016-08-08,2017-01-21,27605
70124,2016-06-21,NA,28529.39
160035,2016-06-13,NA,294849.18
57043,2016-06-13,NA,12846.29
150073,2016-06-21,2016-06-24,10516.69
128110,2016-05-19,2016-05-31,48538.87
5969,2016-08-08,NA,53391.21
163930,2016-06-21,2016-06-22,31298.14
146161,2016-06-21,2016-06-21,21177.56
30353,2016-06-13,2016-06-20,14769.56
58002,2016-06-13,2016-06-13,26002.97
148180,2016-06-21,NA,66196.61
11585,2016-06-21,NA,50020.95
63084,2016-06-13,2016-07-04,30851.7
27812,2016-08-08,NA,26891.16
47230,2016-05-19,NA,18409.31
120167,2016-06-13,NA,12032.86
2226,2016-08-08,2017-03-08,52313.38
12810,2016-08-08,NA,18995.97
36168,2016-06-13,NA,43146.85
65017,2016-06-21,NA,18670.23
145457,2016-08-08,NA,247177.39
62860,2016-08-08,NA,25155.14
162497,2016-08-08,NA,76029.37
69845,2016-06-13,NA,193031.16
1669,2016-08-08,NA,30802.27
66824,2016-08-08,2016-08-13,104577.02
110127,2016-06-13,2016-06-14,21623.9
158694,2016-07-26,2016-08-09,16690.85
11994,2016-07-26,NA,322025.49
26825,2016-07-26,2016-12-04,25175.47
147463,2016-06-21,NA,27083.73
83234,2016-08-08,NA,112340.44
128604,2016-08-08,NA,12758.55
53242,2016-06-13,2016-07-25,19628.76
30771,2016-06-21,2016-09-19,15858.96
38473,2016-06-13,NA,16262.72
97851,2016-06-13,NA,12453.89
55916,2016-05-19,NA,16847.24
107145,2016-05-12,NA,12196.92
175329,2016-05-19,2016-05-19,16801.77
134729,2016-08-08,2016-09-23,22973.86
172755,2016-06-13,2016-06-22,154562.19
72103,2016-06-21,NA,31422.5
170051,2016-06-06,2016-06-06,13637.72
93783,2016-06-06,2017-02-28,107290.69
123313,2016-08-08,2017-03-24,103738.91
25391,2016-06-06,2016-06-07,63039.6
74186,2016-06-13,2016-07-27,43702.89
161411,2016-06-21,NA,42097.76
51433,2016-06-13,NA,18056.92
132989,2016-08-08,NA,17969.48
79897,2016-06-13,NA,19326.44
108552,2016-06-13,2016-06-16,12019.91
18648,2016-06-21,2016-06-22,10613.77
42621,2016-08-08,2016-11-02,37575.78
172685,2016-06-13,NA,17532.62
171462,2016-06-21,2016-06-22,230033.47
133340,2016-08-08,NA,14152.49
179997,2016-06-21,2016-06-21,18692.01
1141,2016-06-13,2016-12-29,16334.26
139103,2016-08-08,NA,11782.75
34051,2016-08-08,NA,425457.49
71704,2016-06-13,2016-09-16,98652.97
119933,2016-06-13,NA,330219.44
60940,2016-06-13,2016-09-12,59056.42
99093,2016-06-06,NA,25188.73
14470,2016-08-08,NA,160027.32
102932,2016-06-13,2016-07-16,13522.38
108835,2016-06-21,2016-07-12,20771.81
132697,2016-06-21,2016-07-03,204661.59
170307,2016-07-26,2016-08-21,44831.28
160774,2016-08-08,NA,31602.16
166755,2016-06-13,NA,25758.22
133629,2016-08-08,2016-08-08,172178.33
125519,2016-06-13,NA,20458.46
116630,2016-08-08,NA,209628.32
58973,2016-06-13,2016-07-09,110673.07
43474,2016-05-12,NA,67666.22
8782,2016-06-13,NA,15288.65
98951,2016-08-08,NA,11678.09
124642,2016-08-08,NA,20175.29
13771,2016-06-06,NA,46568.7
50596,2016-06-21,NA,44836.48
107993,2016-06-21,2016-06-26,32236.33
43549,2016-06-13,NA,11742.98
26709,2016-08-08,NA,12027.08
41660,2016-08-08,2016-08-09,14366.94
75222,2016-06-13,NA,13740.47
35343,2016-06-21,NA,11643.65
173940,2016-06-13,NA,38702.14
55338,2016-06-13,NA,23513.79
67370,2016-08-08,NA,34785.49
114612,2016-08-08,NA,58116.09
119762,2016-08-08,2016-12-27,12632.81
32741,2016-07-26,NA,44606.38
77961,2016-06-21,2016-07-08,15696.86
25341,2016-08-08,2016-09-07,154167.9
26694,2016-06-06,NA,28774.33
173483,2016-06-21,NA,10033.03
1982,2016-06-13,2016-09-27,12710.34
37433,2016-06-13,2016-06-15,27256.66
114951,2016-06-06,NA,28594.84
119444,2016-06-06,2016-09-21,33434.26
59716,2016-06-21,2016-06-23,16630.29
13424,2016-06-21,2016-06-23,21709.39
139759,2016-08-08,2016-10-14,10296.18
81100,2016-06-13,2016-06-28,18160.82
184020,2016-08-08,NA,11461
85596,2016-06-13,NA,55809.31
183095,2016-06-13,2016-06-29,13621.13
173805,2016-08-08,2017-02-24,24621.81
177693,2016-06-21,NA,12562.43
79584,2016-05-12,NA,64596.57
23530,2016-06-13,NA,32092.07
23398,2016-06-06,NA,127628.3
18160,2016-06-13,2016-06-21,17374.56
30914,2016-06-13,NA,15205.45
154838,2016-06-13,NA,17818.87
12362,2016-06-13,2016-06-14,13694.8
160840,2016-06-21,NA,43795.45
169043,2016-08-08,2016-08-08,12736.36
57586,2016-08-08,2016-08-10,10252.5
45414,2016-08-08,NA,19681.75
131207,2016-08-08,NA,11516.73
88836,2016-06-13,2016-06-15,43325.1
171452,2016-06-13,2016-06-17,20101.54
25691,2016-06-13,2017-03-27,11824.52
157409,2016-06-21,NA,16751.53
38701,2016-08-08,NA,150291.8
60339,2016-07-26,2016-08-01,70054.85
122107,2016-06-13,NA,80421.97
135320,2016-06-13,2016-08-14,11650.64
41049,2016-06-06,NA,12728.1
29286,2016-06-13,NA,26622.58
20554,2016-06-13,NA,21680.68
158489,2016-06-13,2016-06-13,197266.01
150464,2016-08-08,NA,17767.4
179782,2016-06-13,NA,35276.45
176231,2016-06-13,NA,25898.48
152376,2016-05-12,2016-09-20,420628.05
81009,2016-08-08,NA,12424.45
46667,2016-06-06,2016-07-30,26614.65
142239,2016-06-13,NA,324494.92
118697,2016-05-19,2016-10-02,32754.24
29650,2016-07-26,NA,26479.19
105691,2016-06-13,2016-06-14,119347.27
119608,2016-06-13,2016-06-17,18851.93
68207,2016-06-13,2016-06-14,10925.43
50463,2016-06-21,2016-07-01,64962.59
164147,2016-06-06,2016-06-06,13234.65
43818,2016-08-08,NA,20024.98
107807,2016-06-13,NA,15410.12
31757,2016-06-21,NA,33924.9
160751,2016-06-13,2016-07-07,22156.79
95029,2016-07-26,NA,15294.22
137938,2016-06-13,2016-08-08,19496.31
50755,2016-06-13,NA,11067.42
108107,2016-05-19,NA,14516.05
146912,2016-06-21,NA,25368.37
3662,2016-06-13,2016-06-13,32969.4
165818,2016-06-13,2016-09-20,19026.2
